Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000117222	RBBP5	16.0	26.0	19.0	30.0	21.0	18.0	41.0	22.0	34.0	29.0	8.0	28.0	14.0	25.0	40.0	39.0	5.0	24.0	25.0	22.0	14.0	4.0	18.0	28.0	32.0	18.0	24.0	46.0	35.0	26.0	29.0	28.0
ENSG00000117713	ARID1A	17.0	14.0	40.0	23.0	18.0	17.0	35.0	20.0	41.0	28.0	9.0	14.0	8.0	28.0	45.0	39.0	6.0	34.0	26.0	22.0	12.0	5.0	18.0	33.0	46.0	22.0	33.0	46.0	31.0	26.0	39.0	29.0
ENSG00000118058	KMT2A	5.0	9.0	9.0	13.0	9.0	5.0	24.0	8.0	18.0	13.0	3.0	7.0	4.0	12.0	21.0	35.0	2.0	9.0	11.0	9.0	5.0	2.0	6.0	15.0	15.0	6.0	8.0	17.0	14.0	11.0	13.0	14.0
ENSG00000118513	MYB			81.0		47.0	22.0	3.0	7.0	21.0	4.0				7.0	14.0			0.9	4.0	55.0			19.0	3.0	3.0	5.0	4.0		12.0	3.0	13.0	4.0
ENSG00000118971	CCND2	23.0	76.0	61.0	63.0	59.0	41.0	73.0	29.0	39.0	32.0	40.0	5.0	3.0	29.0	34.0	25.0	9.0	76.0	35.0	58.0	5.0	0.6	32.0	66.0	36.0	8.0	12.0	78.0	34.0	33.0	36.0	26.0
ENSG00000119508	NR4A3	5.0	145.0	58.0	11.0	5.0	2.0	18.0	10.0	5.0	71.0	3.0	7.0	24.0	9.0	3.0	19.0	3.0	4.0	30.0	2.0		0.8	2.0	28.0	7.0	5.0	3.0	5.0	2.0	104.0	25.0	0.6
ENSG00000119927	GPAM	492.0	80.0	6.0	17.0	9.0	7.0	12.0	6.0	9.0	10.0	9.0	7.0	87.0	12.0	9.0	14.0	2.0	7.0	9.0	8.0	10.0	4.0	7.0	15.0	7.0	5.0	16.0	36.0	8.0	9.0	13.0	7.0
ENSG00000120690	ELF1	87.0	54.0	308.0	26.0	88.0	94.0	108.0	120.0	122.0	191.0	27.0	38.0	37.0	110.0	250.0	93.0	20.0	104.0	82.0	102.0	34.0	5.0	110.0	113.0	189.0	91.0	40.0	195.0	209.0	148.0	180.0	93.0
ENSG00000121481	RNF2	13.0	18.0	17.0	25.0	16.0	11.0	31.0	16.0	25.0	26.0	6.0	11.0	7.0	18.0	23.0	26.0	3.0	41.0	22.0	17.0	10.0	3.0	11.0	24.0	23.0	14.0	44.0	34.0	20.0	24.0	23.0	13.0
ENSG00000123405	NFE2		0.7	161.0			0.8	0.6	2.0	1.0	3.0			0.5	12.0				8.0	0.7				0.6	1.0	13.0		1.0	4.0		4.0	15.0	9.0
ENSG00000123908	AGO2	9.0	10.0	19.0	16.0	12.0	8.0	24.0	15.0	20.0	19.0	6.0	6.0	2.0	16.0	21.0	25.0	3.0	23.0	13.0	11.0	4.0	6.0	10.0	18.0	15.0	9.0	11.0	20.0	11.0	13.0	21.0	23.0
ENSG00000124635	H2BC11	1.0	2.0	5.0	1.0	2.0	1.0	3.0	3.0	6.0	1.0	1.0		0.6	3.0	3.0	1.0		4.0	13.0	3.0	0.7	1.0	2.0	1.0	4.0	3.0	42.0	2.0	4.0	6.0	4.0	0.9
ENSG00000124813	RUNX2	1.0	2.0	15.0	2.0	7.0	5.0	4.0	2.0	2.0	8.0	0.6	1.0	0.8	3.0	11.0	7.0		3.0	6.0	8.0	14.0		5.0	4.0	10.0	9.0	2.0	2.0	10.0	10.0	13.0	3.0
ENSG00000125818	PSMF1	55.0	50.0	65.0	67.0	56.0	55.0	89.0	54.0	95.0	61.0	31.0	48.0	54.0	81.0	69.0	104.0	16.0	59.0	67.0	55.0	35.0	34.0	55.0	76.0	76.0	54.0	165.0	93.0	66.0	56.0	65.0	57.0
ENSG00000126067	PSMB2	39.0	45.0	66.0	61.0	49.0	42.0	66.0	54.0	71.0	58.0	21.0	27.0	38.0	55.0	77.0	55.0	8.0	77.0	53.0	53.0	21.0	16.0	46.0	79.0	62.0	38.0	45.0	66.0	72.0	54.0	68.0	55.0
ENSG00000126070	AGO3	5.0	6.0	6.0	5.0	4.0	3.0	10.0	5.0	6.0	7.0	2.0	4.0	3.0	6.0	8.0	9.0	0.8	5.0	7.0	4.0	2.0	1.0	3.0	6.0	8.0	4.0	8.0	10.0	4.0	5.0	8.0	9.0
ENSG00000126457	PRMT1	33.0	65.0	43.0	40.0	37.0	39.0	106.0	43.0	117.0	55.0	46.0	26.0	12.0	62.0	81.0	116.0	9.0	79.0	66.0	34.0	21.0	42.0	34.0	71.0	76.0	33.0	69.0	81.0	74.0	65.0	75.0	49.0
ENSG00000127511	SIN3B	24.0	28.0	12.0	43.0	13.0	14.0	73.0	18.0	43.0	32.0	10.0	11.0	4.0	36.0	40.0	57.0	5.0	49.0	44.0	13.0	14.0	6.0	17.0	50.0	59.0	16.0	71.0	31.0	15.0	23.0	34.0	23.0
ENSG00000127616	SMARCA4	9.0	15.0	21.0	29.0	13.0	14.0	20.0	22.0	28.0	17.0	6.0	15.0	4.0	24.0	28.0	18.0	4.0	26.0	24.0	12.0	12.0	5.0	14.0	16.0	24.0	13.0	46.0	29.0	21.0	17.0	25.0	29.0
ENSG00000127922	SEM1	13.0	18.0	10.0	9.0	17.0	12.0	19.0	8.0	13.0	9.0	7.0	11.0	19.0	11.0	15.0	19.0	2.0	21.0	18.0	11.0	6.0	8.0	12.0	11.0	12.0	14.0	19.0	9.0	12.0	10.0	19.0	11.0
